run,APDE,AUGD,total_fitness,AET
1,162.6791868324808,90974.40840840522,692588.5066687713,60572.410422325134
2,199.8320258285189,95392.16570061956,797039.7261807804,733.5160064697266
3,194.18411078791308,94114.10343948114,795758.797673476,726.8173506259918
