run,APDE,AUGD,total_fitness,AET
1,522.8946313007168,112464.408188987,814435.4816521101,867.2444422245026
2,538.0979680141475,112665.61578046452,814652.3563731078,1106.481761932373
3,535.2668208179218,111789.54337805974,813773.2571701916,1723.6743619441986
