run,APDE,AUGD,total_fitness,AET
1,48.90595665343477,14286.605881362158,14757.696595490188,119.61572742462158
2,51.07055900523867,14595.85733103291,15069.32070666527,121.50321054458618
3,54.09311913914776,14401.402736374339,14878.996315721806,121.66915893554688
